Account length,International plan,Voice mail plan,Number voice mail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Total charge
128,0,1,25,265.1,110,197.4,99,244.7,91,10,3,1,75.56
107,0,1,26,161.6,123,195.5,103,254.4,103,13.7,3,1,59.24
137,0,0,0,243.4,114,121.2,110,162.6,104,12.2,5,0,62.29
84,1,0,0,299.4,71,61.9,88,196.9,89,6.6,7,2,66.8
75,1,0,0,166.7,113,148.3,122,186.9,121,10.1,3,3,52.09
118,1,0,0,223.4,98,220.6,101,203.9,118,6.3,6,0,67.61
121,0,1,24,218.2,88,348.5,108,212.6,118,7.5,7,3,78.31
147,1,0,0,157,79,103.1,94,211.8,96,7.1,6,0,46.9
117,0,0,0,184.5,97,351.6,80,215.8,90,8.7,4,1,73.32
141,1,1,37,258.6,84,222,111,326.4,97,11.2,5,0,80.54
65,0,0,0,129.1,137,228.5,83,208.8,111,12.7,6,4,54.2
74,0,0,0,187.7,127,163.4,148,196,94,9.1,5,0,57.08
168,0,0,0,128.8,96,104.9,71,141.1,128,11.2,2,1,40.19
95,0,0,0,156.6,88,247.6,75,192.3,115,12.3,5,3,59.64
62,0,0,0,120.7,70,307.2,76,203,99,13.1,6,4,59.31
161,0,0,0,332.9,67,317.8,97,160.6,128,5.4,9,4,92.29
85,0,1,27,196.4,139,280.9,90,89.3,75,13.8,4,1,65.02
93,0,0,0,190.7,114,218.2,111,129.6,121,8.1,3,3,58.99
76,0,1,33,189.7,66,212.8,65,165.7,108,10,5,1,60.5
73,0,0,0,224.4,90,159.5,88,192.8,74,13,2,1,63.9
147,0,0,0,155.1,117,239.7,93,208.8,133,10.6,4,0,59
77,0,0,0,62.4,89,169.9,121,209.6,64,5.7,6,5,36.02
130,0,0,0,183,112,72.9,99,181.8,78,9.5,19,0,48.06
111,0,0,0,110.4,103,137.3,102,189.6,105,7.7,6,2,41.05
132,0,0,0,81.1,86,245.2,72,237,115,10.3,2,0,48.08
174,0,0,0,124.3,76,277.1,112,250.7,115,15.5,5,3,60.15
57,0,1,39,213,115,191.1,112,182.7,115,9.5,3,0,63.24
