State,County,FIPS,Total Population,"Percent White, not Hispanic or Latino","Percent Black, not Hispanic or Latino",Percent Hispanic or Latino,Percent Foreign Born,Percent Female,Percent Age 29 and Under,Percent Age 65 and Older,Median Household Income,Percent Unemployed,Percent Less than High School Degree,Percent Less than Bachelor's Degree,Percent Rural,Democratic,Republican,Party
AZ,apache,4001,72346,18.57186299,0.486550742,5.947806375,1.719514555,50.5985127,45.85464297,13.32209106,32460,15.80743337,21.75825183,88.94106329,74.06107553,16298,7810,1
AZ,cochise,4003,128177,56.29949211,3.714394938,34.40320806,11.45837397,49.06964588,37.90227576,19.75627453,45383,8.567107589,13.40917082,76.83705527,36.30106741,17383,26929,0
AZ,coconino,4005,138064,54.61959671,1.342855487,13.71103256,4.825298412,50.58161432,48.94614092,10.87394252,51106,8.238304813,11.08538134,65.79143946,31.46606557,34240,19249,1
AZ,gila,4007,53179,63.2223246,0.552849809,18.54867523,4.249797853,50.29616954,32.23828955,26.39763817,40593,12.12993221,15.72995824,82.26262417,41.06199974,7643,12180,0
AZ,graham,4009,37529,51.46153641,1.811932106,32.09784433,4.385941539,46.31351755,46.39345573,12.31580911,47422,14.42410428,14.58079666,86.67594364,46.43739925,3368,6870,0
AZ,la paz,4012,20304,58.88494878,0.379235619,26.1820331,11.37214342,48.94602049,28.07328605,36.05693459,36321,10.59901339,24.84221485,89.56340686,56.32778564,1609,3265,0
AZ,maricopa,4013,4088549,56.91811447,5.013612409,30.28683281,14.72933307,50.549278,41.88662041,13.83784321,55676,6.808454052,13.05192691,69.03113669,2.363799695,732671,672505,1
AZ,mohave,4015,203629,78.25260646,0.951730844,15.70846982,6.969046649,49.67661777,30.48583453,26.8586498,39856,11.68095288,16.14585048,88.12117781,22.96364381,19214,50209,0
AZ,navajo,4017,108209,41.92719644,0.672772135,11.04991267,2.914729828,49.8461311,43.24316831,15.74545555,36868,18.5257911,18.49408653,85.50797032,54.13824233,16624,18767,0
AZ,pima,4019,1003338,53.27157947,3.199719337,36.10597824,12.90342836,50.80740488,40.0873883,17.80177767,46764,9.214113975,12.25223757,69.19939114,7.523491145,221242,160550,1
AZ,santa cruz,4023,46547,15.27488345,0.199798054,83.21911187,32.64442392,52.12580832,43.30032011,15.89576127,38941,9.749896222,25.20672643,77.50677507,26.88317166,9241,3828,1
AZ,yavapai,4025,218586,81.15936062,0.518331458,14.05488,6.456955157,51.09247619,28.7173012,28.27262496,46638,8.525986058,9.83067218,74.45836226,33.19717769,40160,65308,0
CT,fairfield,9001,941618,63.50951235,10.45615101,18.63600738,21.15411982,51.30828,38.01987643,14.38311502,86670,8.211897957,10.1035211,53.63753787,4.584060932,210899,131321,1
CT,hartford,9003,895699,63.25205231,12.65793531,16.89797577,15.01106957,51.4920749,37.38945784,15.64487624,68027,8.237242878,10.7363142,63.13391289,5.408640133,203591,123864,1
