Short_Name,School_Type,Primary_Category,Zip,Excelerate_Award_Gold_Year,Student_Attainment_Rating,Attainment_Reading_Pct_ES,Attainment_Reading_Lbl_ES,Attainment_Math_Pct_ES,Attainment_Math_Lbl_ES,Culture_Climate_Rating,School_Survey_Student_Response_Rate_Pct,School_Survey_Teacher_Response_Rate_Pct,School_Survey_Parent_Response_Rate_Pct,Healthy_School_Certification,Healthy_School_Certification_Description,Creative_School_Certification,Creative_School_Certification_Description,NWEA_Reading_Attainment_Grade_2_Pct,NWEA_Reading_Attainment_Grade_2_Lbl,NWEA_Reading_Attainment_Grade_3_Pct,NWEA_Reading_Attainment_Grade_3_Lbl,NWEA_Reading_Attainment_Grade_4_Pct,NWEA_Reading_Attainment_Grade_4_Lbl,NWEA_Reading_Attainment_Grade_5_Pct,NWEA_Reading_Attainment_Grade_5_Lbl,NWEA_Reading_Attainment_Grade_6_Pct,NWEA_Reading_Attainment_Grade_6_Lbl,NWEA_Reading_Attainment_Grade_7_Pct,NWEA_Reading_Attainment_Grade_7_Lbl,NWEA_Reading_Attainment_Grade_8_Pct,NWEA_Reading_Attainment_Grade_8_Lbl,NWEA_Math_Attainment_Grade_2_Pct,NWEA_Math_Attainment_Grade_2_Lbl,NWEA_Math_Attainment_Grade_3_Pct,NWEA_Math_Attainment_Grade_3_Lbl,NWEA_Math_Attainment_Grade_4_Pct,NWEA_Math_Attainment_Grade_4_Lbl,NWEA_Math_Attainment_Grade_5_Pct,NWEA_Math_Attainment_Grade_5_Lbl,NWEA_Math_Attainment_Grade_6_Pct,NWEA_Math_Attainment_Grade_6_Lbl,NWEA_Math_Attainment_Grade_7_Pct,NWEA_Math_Attainment_Grade_7_Lbl,NWEA_Math_Attainment_Grade_8_Pct,NWEA_Math_Attainment_Grade_8_Lbl,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Suspensions_Per_100_Students_Year_1_Pct,Misconducts_To_Suspensions_Year_1_Pct,Average_Length_Suspension_Year_1_Pct,School_Survey_School_Community,School_Survey_Parent_Teacher_Partnership,School_Survey_Quality_Of_Facilities,Student_Attendance_Year_1_Pct,Teacher_Attendance_Year_1_Pct,Progress_Toward_Graduation_Year_1,Progress_Toward_Graduation_Year_2,Chronic_Truancy_Pct,Supportive_School_Award,School_Latitude,School_Longitude
MONTESSORI ENGLEWOOD,Charter,ES,"60,636",,FAR BELOW AVERAGE,1,1st,2,2nd,NOT YET ORGANIZED,32.5,57.9,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",1,1st,1,1st,3,3rd,2,2nd,1,1st,3,3rd,,,1,1st,1,1st,2,2nd,1,1st,1,1st,9,9th,,,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,WEAK,NOT ENOUGH DATA,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,94.6,,"2,017","2,018",49.6,NOT RATED,41.774572,-87.676147
CATALYST - MARIA,Charter,ES,"60,629",,AVERAGE,47,47th,28,28th,ORGANIZED,65.6,90.2,42%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",19,19th,54,54th,27,27th,64,64th,46,46th,57,57th,57,57th,20,20th,34,34th,18,18th,39,39th,15,15th,23,23rd,37,37th,STRONG,WEAK,NEUTRAL,NEUTRAL,STRONG,WEAK,,,,VERY WEAK,WEAK,WEAK,95.9,,"2,017","2,018",22.4,NOT RATED,41.770992,-87.693075
NOBLE - ROWE CLARK HS,Charter,HS,"60,651",,BELOW EXPECTATIONS,,,,,WELL ORGANIZED,60.4,89.2,< 30%,Not Achieved,This school is not a participant of the Healthy CPS initiative. Learn more by visiting  cps.edu/healthycps .,INCOMPLETE DATA,"This school has an arts designation of Incomplete Data, and may or may not meet the goals and priorities of the CPS Arts Education Plan, but the school has insufficient data available to complete an assessment. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,STRONG,STRONG,VERY STRONG,STRONG,STRONG,VERY WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,88.6,,"2,017","2,018",71,NOT RATED,41.895362,-87.718047
RICHARDSON,Neighborhood,MS,"60,629",,AVERAGE,65,65th,43,43rd,WELL ORGANIZED,91.2,83.3,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,58,58th,56,56th,67,67th,75,75th,,,,,,,27,27th,26,26th,47,47th,71,71st,STRONG,WEAK,STRONG,STRONG,STRONG,VERY WEAK,1.7,36.5,1.6 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,94.8,95.4,"2,017","2,018",15,EMERGING,41.783826,-87.725422
STEM,Magnet,ES,"60,607",,FAR ABOVE AVERAGE,93,93rd,94,94th,WELL ORGANIZED,99.9,94.3,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",95,95th,91,91st,98,98th,93,93rd,90,90th,87,87th,92,92nd,91,91st,99,99th,99,99th,96,96th,85,85th,73,73rd,92,92nd,VERY STRONG,NEUTRAL,STRONG,VERY STRONG,VERY STRONG,NEUTRAL,0,0,0.0 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,96.6,96.1,"2,017","2,018",11.2,EMERGING,41.868576,-87.664969
MANN,Neighborhood,ES,"60,617",2018,BELOW AVERAGE,38,38th,31,31st,WELL ORGANIZED,91.3,86.2,55%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",8,8th,29,29th,60,60th,27,27th,66,66th,42,42nd,48,48th,5,5th,57,57th,47,47th,31,31st,38,38th,24,24th,25,25th,STRONG,NEUTRAL,VERY STRONG,STRONG,STRONG,WEAK,35.7,62.1,1.1 days,STRONG,NEUTRAL,NEUTRAL,95.4,95.5,"2,017","2,018",41.5,EMERGING,41.748274,-87.574816
HENRY,Neighborhood,ES,"60,618",2018,AVERAGE,52,52nd,61,61st,WELL ORGANIZED,84.2,80.6,49%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",30,30th,77,77th,58,58th,50,50th,41,41st,,,,,38,38th,96,96th,64,64th,54,54th,45,45th,,,,,STRONG,STRONG,STRONG,NEUTRAL,STRONG,STRONG,0,0,0.0 days,NEUTRAL,STRONG,STRONG,95.1,94.8,"2,017","2,018",27.2,ESTABLISHED,41.958989,-87.715632
BRUNSON,Neighborhood,ES,"60,651",2018,BELOW AVERAGE,13,13th,8,8th,ORGANIZED,81.6,64.9,31%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",1,1st,8,8th,5,5th,26,26th,26,26th,20,20th,48,48th,1,1st,9,9th,5,5th,6,6th,5,5th,16,16th,20,20th,STRONG,WEAK,STRONG,NEUTRAL,STRONG,VERY WEAK,1.5,27.6,2.4 days,NEUTRAL,STRONG,STRONG,93.4,94.1,"2,017","2,018",31.9,ESTABLISHED,41.897663,-87.765606
FUNSTON,Neighborhood,ES,"60,647",2018,AVERAGE,45,45th,36,36th,ORGANIZED,94.3,81.6,33%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",37,37th,41,41st,37,37th,35,35th,37,37th,56,56th,66,66th,28,28th,32,32nd,35,35th,39,39th,30,30th,39,39th,43,43rd,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,3.7,4.2,2.2 days,NEUTRAL,NEUTRAL,NEUTRAL,95,94.7,"2,017","2,018",30.5,ESTABLISHED,41.917617,-87.716892
NEWBERRY,Magnet,ES,"60,614",2018,ABOVE AVERAGE,84,84th,76,76th,WELL ORGANIZED,96.6,75,40%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",75,75th,79,79th,80,80th,79,79th,85,85th,94,94th,89,89th,75,75th,66,66th,75,75th,68,68th,67,67th,83,83rd,87,87th,STRONG,STRONG,VERY STRONG,NEUTRAL,STRONG,STRONG,3.2,18.6,1.4 days,STRONG,NEUTRAL,NEUTRAL,95,96,"2,017","2,018",6.3,ESTABLISHED,41.913947,-87.64599
