School_ID,Legacy_Unit_ID,Finance_ID,Short_Name,Long_Name,Primary_Category,Is_High_School,Is_Middle_School,Is_Elementary_School,Is_Pre_School,Summary,Administrator_Title,Administrator,Secondary_Contact_Title,Secondary_Contact,Address,City,State,Zip,Phone,Fax,CPS_School_Profile,Website,Facebook,Twitter,Youtube,Pinterest,Attendance_Boundaries,Grades_Offered_All,Grades_Offered,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Statistics_Description,Demographic_Description,Dress_Code,PreK_School_Day,Kindergarten_School_Day,School_Hours,Freshman_Start_End_Time,After_School_Hours,Earliest_Drop_Off_Time,Classroom_Languages,Bilingual_Services,Refugee_Services,Title_1_Eligible,PreSchool_Inclusive,Preschool_Instructional,Significantly_Modified,Hard_Of_Hearing,Visual_Impairments,Transportation_Bus,Transportation_El,Transportation_Metra,School_Latitude,School_Longitude,Average_ACT_School,Mean_ACT,College_Enrollment_Rate_School,College_Enrollment_Rate_Mean,Graduation_Rate_School,Graduation_Rate_Mean,Overall_Rating,Rating_Status,Rating_Statement,Classification_Description,School_Year,Third_Contact_Title,Third_Contact_Name,Fourth_Contact_Title,Fourth_Contact_Name,Fifth_Contact_Title,Fifth_Contact_Name,Sixth_Contact_Title,Sixth_Contact_Name,Seventh_Contact_Title,Seventh_Contact_Name,Network,Is_GoCPS_Participant,Is_GoCPS_PreK,Is_GoCPS_Elementary,Is_GoCPS_High_School,Open_For_Enrollment_Date,Closed_For_Enrollment_Date
"610,334","7,690","46,471",RABY HS,Al Raby High School,HS,true,false,false,false,Al Raby inspires students to achieve academic excellence while teaching students how to be productive members of their community.  We believe in meeting the academic and emotional needs of all students.,Principal,Ms.Michelle Theresa Harrell,Assistant Principal,Tanya Roldan,3545 W FULTON BLVD,Chicago,Illinois,"60,624","7,735,346,755","7,735,346,938",http://cps.edu/Schools/Pages/school.aspx?SchoolID=610334,http://www.alraby.org/,,https://twitter.com/RabyHS,,,false,"9,10,11,12",9-12,265,252,86,12,240,22,1,1,0,0,0,0,1,0,There are 265 students enrolled at RABY HS.  95.1% are Low Income Students.  32.5% are Diverse Learners.  4.5% are Limited English Learners.,The largest demographic at RABY HS is Black.  This demographic makes up 90.6% of the student population.  The second greatest demographic is Hispanic at 8.3%.,true,,,"8:00 - 3:22 M, T, Th, F  8:00 - 2:24 W",8:00 AM - 3:22 PM,"3:30 PM - 6:00 PM M,T,Th,F",7:30 AM,Spanish,false,false,true,,,true,,,82,Green,Union Pacific West (UP-W),41.88621,-87.715423,,,45.5,67.2,73,78.9,Level 2,INTENSIVE SUPPORT,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .",These schools limit their student populations to 600. This provides a more intimate and personalized learning experience.,School Year 2019-2020,MTSS Coordinator,Molly Hill,Professional School Counselor,Alisha Allison,Chief Dean,D'Angelo DeReef,Technology Coordinator,Joaquin Martinez,,,Network 15,true,false,false,true,09/01/2004 12:00:00 AM,
"610,191","6,070","29,291",STONE,Stone Elementary Scholastic Academy,ES,false,true,true,false,"Stone Academy offers full-day kindergarten, algebra, art, music, technology and science lab. Tours are only available in the fall. Please call the office for an appointment.",Principal,James Joseph Brandon,Assistant Principal,Kate Nestler,6239 N LEAVITT ST,Chicago,Illinois,"60,659","7,735,342,045","7,735,342,092",http://cps.edu/Schools/Pages/school.aspx?SchoolID=610191,http://stoneacademy.net/,,,,,false,"K,1,2,3,4,5,6,7,8",K-8,607,319,52,121,142,98,171,166,2,0,0,26,2,0,There are 607 students enrolled at STONE.  52.6% are Low Income Students.  8.6% are Diverse Learners.  19.9% are Limited English Learners.,The largest demographic at STONE is White.  This demographic makes up 28.2% of the student population.  The second greatest demographic is Asian at 27.3%.,true,,Full Day,8:00  AM - 3:00  PM,,,,,true,,false,,,,,,"49B, 84",Brown,,41.995359,-87.684793,,,,,,,Level 1+,GOOD STANDING,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .",Schools that specialize in a specific subject area. Acceptance based on application and random lottery.,School Year 2019-2020,,,,,,,,,,,Network 2,true,false,true,false,09/01/2004 12:00:00 AM,
"609,885","3,030","22,951",DEWEY,Dewey Elementary Academy of Fine Arts,ES,false,true,true,true,Dewey Academy offers a Fine and Performing Arts Magnet Program. Dewey strives to provide a place of comfort for both learning and encouragement. Dewey is part of the Chicago Math & Science Initiative and the Chicago Reading Initiative. We use the Everyday Math and Math Thematic curriculum. Grades K-3 have implemented the new reading program TROPHIES 2005.,Principal,Mrs.Valencia T. Koker,Assistant Principal,Charlene Reynolds,5415 S UNION AVE,Chicago,Illinois,"60,609","7,735,351,666","7,735,351,802",http://cps.edu/Schools/Pages/school.aspx?SchoolID=609885,http://dewey.auslchicago.org,http://www.facebook.com/DeweyEagles,http://twitter.com/DeweyEagles,,,true,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",337,325,32,13,307,25,4,0,0,0,0,1,0,0,There are 337 students enrolled at DEWEY.  96.4% are Low Income Students.  9.5% are Diverse Learners.  3.9% are Limited English Learners.,The largest demographic at DEWEY is Black.  This demographic makes up 91.1% of the student population.  The second greatest demographic is Hispanic at 7.4%.,true,Full Day,Full Day,M-Th 07:45 AM-03:15 PM;  F: 7:45 AM-12:45 PM,,3:15 PM-6:15 PM,7:20 AM,Spanish,true,,true,,,,,,"8, 51, 55",Red,,41.795646,-87.642652,,,,,,,Level 2+,GOOD STANDING,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2019-2020,CPC Head Teacher,Arlene Lewis,,,,,,,,,AUSL,true,false,true,false,09/01/2004 12:00:00 AM,
"610,209","6,270","25,681",VOLTA,Alessandro Volta Elementary School,ES,false,true,true,true,"Volta offers a full spectrum of educational services such as Special Education, Algebra 1 and Bilingual Education that includes Spanish Dual Language. The diverse cultural make-up of Volta’s student body and faculty make it an exciting place to both learn and teach. Volta partners with various local community organizations to augment its already rich academic curriculum. 
""Where the World Learns Together""",Principal,Ms.Emily Mariano,Assistant Principal,A. Thepsiree,4950 N AVERS AVE,Chicago,Illinois,"60,625","7,735,345,080","7,735,345,280",http://cps.edu/Schools/Pages/school.aspx?SchoolID=610209,https://volta.cps.edu,,https://twitter.com/VoltaSchool,,,true,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",817,725,77,542,19,521,39,171,0,0,0,3,1,63,There are 817 students enrolled at VOLTA.  88.7% are Low Income Students.  9.4% are Diverse Learners.  66.3% are Limited English Learners.,The largest demographic at VOLTA is Hispanic.  This demographic makes up 63.8% of the student population.  The second greatest demographic is Asian at 20.9%.,true,Full Day,Full Day,8:00 am-3:00 pm,,,,"Arabic, Spanish",true,,true,,,,,,"53, 81",Brown,,41.971634,-87.724605,,,,,,,Level 2+,GOOD STANDING,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2019-2020,Counselor,Katie Styzek,Dual Language Coordinator & EL Coach,Josue Contreras,English Language Learner Teacher (ELPT),Dipal Parekh,,,,,Network 1,true,false,true,false,09/01/2004 12:00:00 AM,
"609,995","4,010","23,811",HITCH,Rufus M Hitch Elementary School,ES,false,true,true,true,"Hitch Elementary is a premiere neighborhood school that offers a holistic curriculum, incorporating classic academic subjects as well as arts and athletics education.  In addition to our school day courses, Hitch offers a wide variety of after school programs.  We are a Level 1+ school with Healthy Schools Certification, Excelling Arts certification, and a Gold Circle of Quality PreK program.  We partner with local and national businesses and Universities to give students real life learning opportunities (e.g. Purdue University and the University of North Carolina).",Principal,Mr.Adam J. Stich,Assistant Principal,Diane Kieres,5625 N MCVICKER AVE,Chicago,Illinois,"60,646","7,735,341,189","7,735,341,176",http://cps.edu/Schools/Pages/school.aspx?SchoolID=609995,http://www.hitchschool.org,https://www.facebook.com/hitchelementary,https://twitter.com/hitchelementary,,,true,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",581,318,77,114,6,258,235,47,2,0,0,30,0,3,There are 581 students enrolled at HITCH.  54.7% are Low Income Students.  13.3% are Diverse Learners.  19.6% are Limited English Learners.,The largest demographic at HITCH is Hispanic.  This demographic makes up 44.4% of the student population.  The second greatest demographic is White at 40.4%.,true,Half Day,Full Day,08:00 AM-03:00 PM,,,7:50 AM,,true,,true,,,,,,"56A, 68",Blue,,41.983672,-87.779123,,,,,,,Level 1,GOOD STANDING,"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2019-2020,,,,,,,,,,,ISP,true,false,true,false,09/01/2004 12:00:00 AM,
"609,766","1,920","49,081",VAUGHN HS,Jacqueline B Vaughn Occupational High School,HS,true,false,false,false,"The team members of Vaughn Occupational High School provide a specialized education for high school students with mild to moderate cognitive disabilities. Vaughn’s mission is to teach its students individualized, functional academics, emphasizing occupational development and independence. A focus on social and emotional growth is a key part of Vaughn’s philosophy.",Principal,Noel Francis Mcnally,Assistant Principal,Stephanie Anderson,4355 N LINDER AVE,Chicago,Illinois,"60,641","7,735,343,600","7,735,343,631",http://cps.edu/Schools/Pages/school.aspx?SchoolID=609766,https://vaughnhs.org,https://www.facebook.com/Vaughnhs/,https://twitter.com/VaughnOHS,,,false,"9,10,11,12",9-12,220,164,220,69,45,119,53,0,0,0,0,2,1,0,There are 220 students enrolled at VAUGHN HS.  74.5% are Low Income Students.  100% are Diverse Learners.  31.4% are Limited English Learners.,The largest demographic at VAUGHN HS is Hispanic.  This demographic makes up 54.1% of the student population.  The second greatest demographic is White at 24.1%.,false,,,7:15 AM-2:14 PM,,,,,,,true,,,true,,,,,,41.960364,-87.764663,,,6.1,67.2,0,78.9,Inability to Rate,GOOD STANDING,"This school did not have enough data to receive a rating based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .",Schools for students with disabilities who reside in specified geographic locations. Acceptance based on students’ Individualized Education Program.,School Year 2019-2020,,,,,,,,,,,Network 14,false,false,false,false,09/01/2004 12:00:00 AM,
"609,988","3,940","23,731",HENRY,Patrick Henry Elementary School,ES,false,true,true,true,"Henry School, an AMPS school, is an ethnically diverse, multicultural urban school servicing the Old Irving Park and south Albany Park communities of Chicago. We strive for excellence in teaching for all our students. Henry School partners with universities and organizations to bring enriching academic opportunities and resources for teachers, students, and parents.",Principal,Januario Gutierrez,Assistant Principal,Ms. Mary Ann Munozmaciel,4250 N SAINT LOUIS AVE,Chicago,Illinois,"60,618","7,735,345,060","7,735,345,042",http://cps.edu/Schools/Pages/school.aspx?SchoolID=609988,http://patrickhenryes.cps.edu,,,,,true,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",560,519,95,278,20,463,37,17,17,0,0,3,2,1,There are 560 students enrolled at HENRY.  92.7% are Low Income Students.  17% are Diverse Learners.  49.6% are Limited English Learners.,The largest demographic at HENRY is Hispanic.  This demographic makes up 82.7% of the student population.  The second greatest demographic is White at 6.6%.,true,Half Day,Full Day,08:15 AM-03:15 PM,,,,,,,true,,,,,,"78, 82",,,41.958989,-87.715632,,,,,,,Level 1,GOOD STANDING,"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2019-2020,,,,,,,,,,,Network 1,true,false,true,false,09/01/2004 12:00:00 AM,
"610,017","4,250","29,151",SAUCEDO,Maria Saucedo Elementary Scholastic Academy,ES,false,true,true,true,"Maria Saucedo Scholastic Academy, a city-wide magnet school for Math, Science, and Technology, seeks to maximize the options, opportunities, and outcomes for all students and families through excellent academics, strong social-emotional supports, and engaging extracurricular experiences. Bussing is available. Applications are due soon! Call 773.534.1771 for more details on how to apply.",Principal,Virginia T Hiltz,Assistant Principal,Rosa Arostegui,2850 W 24TH BLVD,Chicago,Illinois,"60,623","7,735,341,770","7,735,341,356",http://cps.edu/Schools/Pages/school.aspx?SchoolID=610017,http://saucedoacademy.cps.edu,,https://twitter.com/saucedoacademy,,,false,"PK,K,1,2,3,4,5,6,7,8","PK,K-8","1,005",928,137,393,36,954,7,1,3,0,0,2,0,2,There are 1005 students enrolled at SAUCEDO.  92.3% are Low Income Students.  13.6% are Diverse Learners.  39.1% are Limited English Learners.,The largest demographic at SAUCEDO is Hispanic.  This demographic makes up 94.9% of the student population.  The second greatest demographic is Black at 3.6%.,true,Full and Half Day,Full Day,9:00 AM-4:00 PM,,4:00 PM - 6:30 PM,7:30 AM,Spanish,true,,true,,,,,,"60, 94",Pink,,41.847941,-87.697316,,,,,,,Level 1,GOOD STANDING,"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .",Schools that specialize in a specific subject area. Acceptance based on application and random lottery.,School Year 2019-2020,,,,,,,,,,,Network 7,true,false,true,false,09/01/2004 12:00:00 AM,
"400,028","4,220","66,161",CICS - PRAIRIE,CICS - Prairie,ES,false,true,true,false,"CICS - Prairie has welcomed children and families since 1998. CICS - Prairie offers an opportunity to excel in an environment that encourages creativity and responsibility. Emphasis is placed on active student participatory learning in reading, math, language arts, social studies, and science through a variety of innovative teaching strategies such as the Paideia Method.",Director,Karin Breo,Assistant Director,Rachel Beucher,11530 S PRAIRIE AVE,Chicago,Illinois,"60,628","7,739,280,480","7,739,286,971",http://cps.edu/Schools/Pages/school.aspx?SchoolID=400028,https://www.cicsprairie.org,https://www.facebook.com/cicsprairie,https://twitter.com/cics_prairie,http://www.youtube.com/distinctiveschools,,false,"K,1,2,3,4,5,6,7,8",K-8,421,391,57,100,230,183,3,0,2,0,0,3,0,0,There are 421 students enrolled at CICS - PRAIRIE.  92.9% are Low Income Students.  13.5% are Diverse Learners.  23.8% are Limited English Learners.,The largest demographic at CICS - PRAIRIE is Black.  This demographic makes up 54.6% of the student population.  The second greatest demographic is Hispanic at 43.5%.,true,,Full Day,8:00 am-3:30 pm,,3:45pm-5:00pm,07:00 AM,,true,,true,,,,,,,,,41.684433,-87.616888,,,,,,,Level 2,NOT APPLICABLE,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2019-2020,Director Of Operations,Ana Barrera,Dean of Students,Jeremy Allen,Office Manager,Maria Galvan,,,,,Charter,false,false,false,false,09/01/2004 12:00:00 AM,
"610,315","7,440","26,431",WHITE,Edward White Elementary Career Academy,ES,false,true,true,true,"White Career Academy is a small community school focused on building a strong rigorous academic program in the areas of literacy, math, science, and social studies. White has partnerships with Communities In Schools of Chicago, FOUS, Field Museum, and Chicago Park District, and has a chapter membership with the National Beta Club.",Principal,Maya A Sadder,Assistant Principal,Josephine Richardson,1136 W 122ND ST,Chicago,Illinois,"60,643","7,735,355,672","7,735,355,644",http://cps.edu/Schools/Pages/school.aspx?SchoolID=610315,https://cps.edu/white,,,,,true,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",136,132,20,3,133,3,0,0,0,0,0,0,0,0,There are 136 students enrolled at WHITE.  97.1% are Low Income Students.  14.7% are Diverse Learners.  2.2% are Limited English Learners.,The largest demographic at WHITE is Black.  This demographic makes up 97.8% of the student population.  The second greatest demographic is Hispanic at 2.2%.,true,Full Day,Full Day,08:15 AM-03:15 PM,,,,,,,true,,,,,,,,,41.672309,-87.650539,,,,,,,Level 2,PROVISIONAL SUPPORT,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2019-2020,,,,,,,,,,,Network 13,true,false,true,false,09/01/2004 12:00:00 AM,
