basic_info_brand,basic_info_family,basic_info_reference,basic_info_name,basic_info_produced,basic_info_limited,case_material,case_glass,case_back,case_shape,case_diameter,case_height,case_lug width,dial_color,dial_material,dial_indexes,dial_hands,movement_type,movement_brand,movement_caliber,movement_display,movement_diameter,movement_jewels,movement_reserve,movement_frequency,movement_time,description,image_link
Archimede,Pilot,,Pilot 45 Automatic Stainless Steel / Black / Bracelet,,No,Stainless steel,Sapphire,Open,Round,45.00 mm,10.00 mm,,Black,,Arabic Numerals,Sword,Automatic,Sellita,SW200-1,Analog,25.60 mm,26,38 h,28800 bph,"Hours, Minutes, Seconds","Classic design, engineering precision and functionality are the guidelines for this outstanding chronograph.

This Pilot 45 is powered byan automatic movement by Sellita. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel and measures 45mm across. The Pilot 45 KS is available with display back or - as an option - with a solid case back.

The catchy Pilot crown is designed for optimal usability, both when winding and while setting the time. The classic pilot's-style dial with luminous hands allows a clear time reading. 

Reference UA7949BM-A1.1 is fitted with a stainless steel bracelet.",https://watchbase.r.sizr.io/watch/lg/archimede/pilot/ua7949bm-a1-1-90.jpg
Apple,Watch,,Watch 42mm,2015,No,,Sapphire,Closed,Rectangular,35.90 mm,10.50 mm,,,,Mixed,Proprietary ,Processor,Apple,Apple Watch,Digital,,,18 h,,"Hours, Minutes, Seconds, World Time","The Apple Watch in 42mm has a stainless steel case with a ceramic back in 35.9x42.0mm at a height of 10.5mm. It is splash proof though not water resistant. The 'movement' has a power reserve of 18 hours, after which it can be recharged using a magnetic charging cable. The glass on the Apple Watch version is sapphire.

Synced with an iPhone, it keeps time to within 50 milliseconds of the definitive global time standard. The 'dial' can of course be customized. It features various sensors to keep track of health and activity.

Available in a wide range of versions, the current version of the Apple Watch has a stainless steel case and a slide-through milanese bracelet.",https://watchbase.r.sizr.io/watch/lg/apple/apple-watch/mj3y2ll-d1.jpg
Breitling,Transocean,,Transocean Day & Date Red Gold / Silver / Calf / Pin,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-g752-437x-b.jpg
Breitling,Transocean,,Transocean Day & Date Red Gold / Silver / Rubber / Folding,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-g752-279s-r20d-3-81.png
Archimede,Pilot,,Pilot Chornograph Staineless Steel / Black,,No,Stainless steel,Sapphire,Open,Round,42.00 mm,13.60 mm,,Black,,Arabic Numerals,Sword,Automatic,ETA,7750,Analog,30.00 mm,25,42 h,28800 bph,"Hours, Minutes, Small Seconds","Classic design, engineering precision and functionality are the guidelines for this outstanding chronograph.

This Pilot watch is powered by a Swiss Made Eta 7750 Elaboré automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel or black PVD finished by Ickler. The Pilot Chronograph is available with display back or - as an option - with a solid case back.

The catchy Pilot crown and the large pushers are designed for optimal usability. The classic pilot's-style dial with luminous hands allows a clear time reading. The date is discreetly shown at six o'clock.

Reference UA7939-C1.3 is fitted with a dark brown leather strap.",https://watchbase.r.sizr.io/watch/lg/archimede/pilot/ua7939-c1-3-66.jpg
Archimede,Outdoor,,OutDoor 39 Protect Stainless Steel / Red / Bracelet,,No,Stainless steel,Sapphire,Closed,Round,39.00 mm,11.20 mm,20.00 mm,Red,,Arabic Numerals,Stick,Automatic,Sellita,SW200-1,Analog,25.60 mm,26,38 h,28800 bph,"Hours, Minutes, Seconds","This watch is powered by a Swiss Made SW 200-1 automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel finished by Ickler. 

This specific OutDoor Protect has a red dial and is fitted a stainless steel bracelet.",https://watchbase.r.sizr.io/watch/lg/archimede/outdoor/ua8239b-a6-1-h-9c.jpg
Ball Watch,Engineer Hydrocarbon,,Engineer Hydrocarbon NEDU Black / Rubber,2013,No,Titanium,Sapphire,Closed,Round,42.00 mm,17.30 mm,,Black,,Stick / Dot,Sword,Automatic,Ball Watch,RR1402C,Analog,30.00 mm,25,42 h,28800 bph,"Hours, Minutes, Small Seconds","The Ball Engineer Hydrocarbon NEDU was introduced in 2013. It was named after the Navy Experimental Diving Unit branch of the American Navy. The case measures 42mm across and is made of titanium with a ceramic bezel insert. It houses the self-winding caliber 7750 which is chronometer certified. The crown is fitted with a signature protector and an integrated helium escape valve.

Reference DC3026A-PC-BK has a black dial and a rubber strap.",https://watchbase.r.sizr.io/watch/lg/ball-watch/engineer-hydrocarbon/dc3026a-pc-bk-b7.jpg
Bell & Ross,Instruments,,BR 01 94 B-Rocket,,"Yes, 500 units",Stainless steel,Sapphire,Closed,Square,46.00 mm,,,Black,,Mixed,Sword,Automatic,ETA,2894-2,Analog,28.00 mm,37,42 h,28800 bph,"Hours, Minutes, Small Seconds","To create the BR 01 aviation watch, the Bell & Ross designers took their inspiration from aeronautical instrumentation, the ultimate reference point for legibility and reliability. Available in a variety of models, the BR 01 Instrument watch is no longer exclusively reserved for pilots. It has become an iconic watch to the great delight of watch collectors.
The present example features a stainless steel case The dial is inspired by the modernity of the 1960's and the very first American jet aircraft. The three-counter chronograph movement is automatic and also features a date window at 4:30.
Reference BR0194-B-ROCKET",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0194brocket-e7.jpg
Breitling,Transocean,,Transocean Chronograph 1461 Stainless Steel / Black / Calf / Pin,,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,15.25 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B19,Analog,,38,42 h,28800 bph,"Hours, Minutes, Small Seconds","In the Transocean Chronograph 1461, the chronograph is combined with a complete calendar requiring adjustment only once every leap year, meaning every 1,461 days. The case measures 43mm across.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a1931012-bb68-433x-af.jpg
Breitling,Transocean,,Transocean Day & Date Red Gold / Black / Croco / Pin,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-bb70-739p-9a.jpg
