google_link,basic_info_family,case_material,case_glass,case_back,case_shape,dial_color,dial_indexes,dial_hands,movement_display
gs://watches_draft_2/images_latest/ua7939-c1-3-66.jpg,Pilot,case material - Stainless steel,case glass - Sapphire,case back - Open,Round,dial color - Black,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/dc3026a-pc-bk-b7.jpg,Engineer Hydrocarbon,case material - Titanium,case glass - Sapphire,case back - Closed,Round,dial color - Black,StickDot,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/br0194brocket-e7.jpg,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/a1931012-bb68-433x-af.jpg,Transocean,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Round,dial color - Black,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/26344pt-oo-d002cr-02-df.png,Jules Audemars,case material - Platinum,case glass - Sapphire,case back - Open,Round,dial color - Black,StickDot,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/a1036012ba91154a-a1.jpg,Transocean,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Round,dial color - Black,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/ua7939-c1-1-sw-df.jpg,Pilot,case material - Stainless steel,case glass - Sapphire,case back - Open,Round,dial color - Black,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/378858j-4e.jpg,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Blue,StickDot,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/br0196-altimeter-9.png,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/a1036012g721737p-27.jpg,Transocean,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Round,dial color - Silver,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/26083bc-zz-d102cr-01-fc.png,Jules Audemars,case material - White gold,case glass - Sapphire,case back - Open,Round,dial color - White,StickDot,dial hands - Poire,Analog
gs://watches_draft_2/images_latest/3988482-46.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Blue,StickDot,dial hands - Dauphine,Analog
gs://watches_draft_2/images_latest/dc3026a-pc-be-28.jpg,Engineer Hydrocarbon,case material - Titanium,case glass - Sapphire,case back - Closed,Round,dial color - Blue,StickDot,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/ua7949-h1-3-2b.jpg,Pilot,case material - Stainless steel,case glass - Sapphire,case back - Open,Round,dial color - Black,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/26149or-oo-d803cr-01-d.png,Millenary,case material - Pink gold,case glass - Sapphire,case back - Open,Oval,dial color - White,Roman Numerals,dial hands - Alpha,Analog
gs://watches_draft_2/images_latest/2562402-3e.jpg,Reverso,case material - Pink gold,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/a1036012g721154a-63.jpg,Transocean,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Round,dial color - Silver,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/2588120-67.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Dauphine,Analog
gs://watches_draft_2/images_latest/25866or-oo-d002cr-01-c8.png,Jules Audemars,case material - Pink gold,case glass - Sapphire,case back - Open,Round,dial color - Silver,StickDot,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/a4131012bc06171a-bb.jpg,Transocean,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Round,dial color - Black,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/a1931012-g750-106w-97.jpg,Transocean,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Round,dial color - Silver,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/3788570-58.jpg,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,StickDot,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/3308421-e0.jpg,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/2538420-e0.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/3858522-c3.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Baton,Analog
gs://watches_draft_2/images_latest/br0192-horizon-24.png,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,Mixed,dial hands - Proprietary ,Analog
gs://watches_draft_2/images_latest/3912420-b.png,Reverso,case material - Pink gold,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,StickDot,dial hands - Dauphine,Analog
gs://watches_draft_2/images_latest/3212402-f0.jpg,Reverso,case material - Pink gold,case glass - Sapphire,case back - Closed,Rectangular,dial color - White,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/7058430-85.jpg,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/a1631012a764171a-19.jpg,Transocean,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Round,dial color - White,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/ua7949-h1-2-b6.jpg,Pilot,case material - Stainless steel,case glass - Sapphire,case back - Open,Round,dial color - Black,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/2458420-7f.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Baton,Analog
gs://watches_draft_2/images_latest/2618430-61.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Baton,Analog
gs://watches_draft_2/images_latest/ua7939-c1-2-38.jpg,Pilot,case material - Stainless steel,case glass - Sapphire,case back - Open,Round,dial color - Black,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/2662422-3b.png,Reverso,case material - Pink gold,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/26100or-oo-d088cr-01-57.png,Jules Audemars,case material - Pink gold,case glass - Sapphire,case back - Open,Round,dial color - White,Arabic Numerals,dial hands - Poire,Analog
gs://watches_draft_2/images_latest/15180or-oo-a002cr-01-26.png,Jules Audemars,case material - Pink gold,case glass - Sapphire,case back - Open,Round,dial color - Black,StickDot,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/26344pt-oo-d002cr-03-d0.png,Jules Audemars,case material - Platinum,case glass - Sapphire,case back - Open,Round,dial color - Grey,StickDot,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/br0390blstsst-11.jpg,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/2718110-4.jpg,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/br0392-hor-blc-srb-b8.png,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/dc3026a-sc-be-a2.jpg,Engineer Hydrocarbon,case material - Titanium,case glass - Sapphire,case back - Closed,Round,dial color - Blue,StickDot,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/2518411-a9.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/br0194-bl-ca-50.png,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/25996pt-oo-d002cr-01-cd.png,Jules Audemars,case material - Platinum,case glass - Sapphire,case back - Open,Round,dial color - Sapphire,StickDot,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/br0392-mil-ce-69.png,Instruments,case material - Ceramic,case glass - Sapphire,case back - Closed,Square,dial color - Green,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/2332420-dd.png,Reverso,case material - Pink gold,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Skeleton,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/2508411-c3.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/2708110-f2.jpg,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/15320bc-oo-d002cr-01-20.png,Millenary,case material - White gold,case glass - Sapphire,case back - Open,Oval,dial color - Black,Roman Numerals,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/77247bc-zz-a813cr-01-dd.png,Millenary,case material - White gold,case glass - Sapphire,case back - Open,Oval,dial color - White,Arabic Numerals,dial hands - Alpha,Analog
gs://watches_draft_2/images_latest/br0390blst-70.png,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/dc3026a-scj-bk-52.jpg,Engineer Hydrocarbon,case material - Titanium,case glass - Sapphire,case back - Closed,Round,dial color - Black,StickDot,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/15352or-oo-d093cr-01-39.png,Millenary,case material - Pink gold,case glass - Sapphire,case back - Open,Oval,dial color - Skeleton,Roman Numerals,dial hands - Alpha,Analog
gs://watches_draft_2/images_latest/ua8239b-a4-1-h-bc.jpg,Outdoor,case material - Stainless steel,case glass - Sapphire,case back - Closed,Round,dial color - Green,Arabic Numerals,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/a1036012g721433x-3d.jpg,Transocean,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Round,dial color - Silver,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/3213402-4.jpg,Reverso,case material - White gold,case glass - Sapphire,case back - Closed,Rectangular,dial color - White,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/br0192-turncoor-67.png,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,Mixed,dial hands - Proprietary ,Analog
gs://watches_draft_2/images_latest/3208420-31.jpg,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/2608110-f6.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/ua7949-a1-1-l-3e.jpg,Pilot,case material - Stainless steel,case glass - Sapphire,case back - Open,Round,dial color - Black,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/br0196blst-6f.jpg,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/2618110-78.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/3358420-56.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,StickDot,dial hands - Dauphine,Analog
