,brand,family,reference,name,produced,limited,caseMaterial,caseGlass,caseBack,caseShape,caseDiameter,caseHeight,caseLugWidth,dialColor,dialMaterial,dialIndexes,dialHands,movementType,movementBrand,movementCaliber,movementDisplay,movementDiameter,movementJewels,movementReserve,movementFrequency,movementTime,description,imageLink,imagePath
0,Archimede,Pilot,,Pilot Chornograph Staineless Steel / Black,,No,Stainless steel,Sapphire,Open,Round,42.00 mm,13.60 mm,,Black,,Arabic Numerals,Sword,Automatic,ETA,7750,Analog,30.00 mm,25.0,42 h,28800 bph,"Hours, Minutes, Small Seconds","Classic design, engineering precision and functionality are the guidelines for this outstanding chronograph.

This Pilot watch is powered by a Swiss Made Eta 7750 Elaboré automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel or black PVD finished by Ickler. The Pilot Chronograph is available with display back or - as an option - with a solid case back.

The catchy Pilot crown and the large pushers are designed for optimal usability. The classic pilot's-style dial with luminous hands allows a clear time reading. The date is discreetly shown at six o'clock.

Reference UA7939-C1.3 is fitted with a dark brown leather strap.",https://watchbase.r.sizr.io/watch/lg/archimede/pilot/ua7939-c1-3-66.jpg,images_latest/ua7939-c1-3-66.jpg
1,Archimede,Outdoor,,OutDoor 39 Protect Stainless Steel / Red / Bracelet,,No,Stainless steel,Sapphire,Closed,Round,39.00 mm,11.20 mm,20.00 mm,Red,,Arabic Numerals,Stick,Automatic,Sellita,SW200-1,Analog,25.60 mm,26.0,38 h,28800 bph,"Hours, Minutes, Seconds","This watch is powered by a Swiss Made SW 200-1 automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel finished by Ickler. 

This specific OutDoor Protect has a red dial and is fitted a stainless steel bracelet.",https://watchbase.r.sizr.io/watch/lg/archimede/outdoor/ua8239b-a6-1-h-9c.jpg,images_latest/ua8239b-a6-1-h-9c.jpg
2,Ball Watch,Engineer Hydrocarbon,,Engineer Hydrocarbon NEDU Black / Rubber,2013,No,Titanium,Sapphire,Closed,Round,42.00 mm,17.30 mm,,Black,,Stick / Dot,Sword,Automatic,Ball Watch,RR1402C,Analog,30.00 mm,25.0,42 h,28800 bph,"Hours, Minutes, Small Seconds","The Ball Engineer Hydrocarbon NEDU was introduced in 2013. It was named after the Navy Experimental Diving Unit branch of the American Navy. The case measures 42mm across and is made of titanium with a ceramic bezel insert. It houses the self-winding caliber 7750 which is chronometer certified. The crown is fitted with a signature protector and an integrated helium escape valve.

Reference DC3026A-PC-BK has a black dial and a rubber strap.",https://watchbase.r.sizr.io/watch/lg/ball-watch/engineer-hydrocarbon/dc3026a-pc-bk-b7.jpg,images_latest/dc3026a-pc-bk-b7.jpg
3,Bell & Ross,Instruments,,BR 01 94 B-Rocket,,"Yes, 500 units",Stainless steel,Sapphire,Closed,Square,46.00 mm,,,Black,,Mixed,Sword,Automatic,ETA,2894-2,Analog,28.00 mm,37.0,42 h,28800 bph,"Hours, Minutes, Small Seconds","To create the BR 01 aviation watch, the Bell & Ross designers took their inspiration from aeronautical instrumentation, the ultimate reference point for legibility and reliability. Available in a variety of models, the BR 01 Instrument watch is no longer exclusively reserved for pilots. It has become an iconic watch to the great delight of watch collectors.
The present example features a stainless steel case The dial is inspired by the modernity of the 1960's and the very first American jet aircraft. The three-counter chronograph movement is automatic and also features a date window at 4:30.
Reference BR0194-B-ROCKET",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0194brocket-e7.jpg,images_latest/br0194brocket-e7.jpg
4,Breitling,Transocean,,Transocean Chronograph 1461 Stainless Steel / Black / Calf / Pin,,No,Stainless Steel,Sapphire,Closed,Round,43.00 mm,15.25 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B19,Analog,,38.0,42 h,28800 bph,"Hours, Minutes, Small Seconds","In the Transocean Chronograph 1461, the chronograph is combined with a complete calendar requiring adjustment only once every leap year, meaning every 1,461 days. The case measures 43mm across.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a1931012-bb68-433x-af.jpg,images_latest/a1931012-bb68-433x-af.jpg
5,Audemars Piguet,Jules Audemars,,Jules Audemars 26344 Grande Sonnerie Carillon Platinum / The Hour Glass Black,2016,"Yes, 1 unit",Platinum,Sapphire,Open,Round,39.00 mm,11.10 mm,,Black,Yellow gold,Stick / Dot,Feuille,Handwound,Audemars Piguet,AP 2945,Analog,29.90 mm,53.0,48 h,21600 bph,"Hours, Minutes, Small Seconds","The Jules Audemars 26344PT.OO.D002CR.02 is a unique piece created for The Hour Glass. It features a platinum case and a black guilloché dial. It is powered by the hand-wound caliber 2945, which features a triple tone grande sonnerie, smalls seconds and a power reserve indicator.",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/26344pt-oo-d002cr-02-df.png,images_latest/26344pt-oo-d002cr-02-df.png
6,Breitling,Transocean,,Transocean Date Stainless Steel / Black / Bracelet,2011 - 2012,No,Stainless Steel,Sapphire,Closed,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B10,Analog,25.60 mm,21.0,42 h,28800 bph,"Hours, Minutes, Seconds","Transocean  The Transocean reinterprets the pure design of the classic 1950s and 60s in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.   REF. A1036012.BA91.154A",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a1036012ba91154a-a1.jpg,images_latest/a1036012ba91154a-a1.jpg
7,Audemars Piguet,Millenary,,Millenary Self-winding Pink Gold / Brown,,No,Pink gold,Sapphire,Open,Oval,45.00 mm,8.90 mm,,Brown,,Roman Numerals,Feuille,Automatic,Audemars Piguet,AP 3120,Analog,26.60 mm,40.0,60 h,21600 bph,"Hours, Minutes, Seconds",The Audemars Piguet Millenary 15320OR.OO.D095CR.01 has a pink gold case and a brown - pink dial.Inside is the brand's own caliber 3120.,https://watchbase.r.sizr.io/watch/lg/audemars-piguet/millenary/15320or-oo-d095cr-01-f0.png,images_latest/15320or-oo-d095cr-01-f0.png
8,Archimede,Pilot,,Pilot Chornograph PVD / Black,,No,Stainless steel,Sapphire,Open,Round,42.00 mm,13.60 mm,,Black,,Arabic Numerals,Sword,Automatic,ETA,7750,Analog,30.00 mm,25.0,42 h,28800 bph,"Hours, Minutes, Small Seconds","Classic design, engineering precision and functionality are the guidelines for this outstanding chronograph.

This Pilot watch is powered by a Swiss Made Eta 7750 Elaboré automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel or black PVD finished by Ickler. The Pilot Chronograph is available with display back or - as an option - with a solid case back.

The catchy Pilot crown and the large pushers are designed for optimal usability. The classic pilot's-style dial with luminous hands allows a clear time reading. The date is discreetly shown at six o'clock.

Reference UA7939-C1.1-SW is fitted with a black leather strap.",https://watchbase.r.sizr.io/watch/lg/archimede/pilot/ua7939-c1-1-sw-df.jpg,images_latest/ua7939-c1-1-sw-df.jpg
9,Jaeger-LeCoultre,Reverso,,Grande Reverso Ultra Thin Duoface Bleu,,No,Stainless Steel,Sapphire,Double Dial,Rectangular,27.40 mm,9.10 mm,,Blue,,Stick / Dot,Sword,Handwound,Jaeger-LeCoultre,854/1,Analog,20.20 mm,21.0,45 h,21600 bph,"Hours, Minutes, Additional 12 Hour Hand (adjustable), Day / Night Indication","First created in 1994, the Duoface concept reinvents the reading of a second time zone, thanks to the magic of the reversible watch. A single movement drives the two dials of the Grande Reverso Ultra Thin Duoface watch. Echoing the aesthetic codes of the historic 1931 model, this new Reverso model, complete with a new ultra-thin case, symbolises the perfect combination of elegance, expertise and a rich historical legacy.

Dimensions (L x W) : 46.8x27.4mm
Thickness : 9.1mm",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/378858j-4e.jpg,images_latest/378858j-4e.jpg
