googleLink,family,caseMaterial,caseGlass,caseBack,caseShape,dialColor,dialIndexes,dialHands,movementType,movementDisplay,movementTime
 gs://ram594/final_images/ua7939-c1-3-66.jpg,family - Pilot,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Open,caseShape - Round,dialColor - Black,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/br0194brocket-e7.jpg,family - Instruments,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Square,dialColor - Black,dialIndexes - Mixed,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/a1931012-bb68-433x-af.jpg,family - Transocean,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Round,dialColor - Black,dialIndexes - Stick  Dot,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/a1036012ba91154a-a1.jpg,family - Transocean,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Round,dialColor - Black,dialIndexes - Stick  Dot,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/ua7939-c1-1-sw-df.jpg,family - Pilot,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Open,caseShape - Round,dialColor - Black,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/378858j-4e.jpg,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Blue,dialIndexes - Stick  Dot,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/br0196-altimeter-9.png,family - Instruments,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Square,dialColor - Black,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/mj362ll-5c.jpg,family - Watch,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Black,dialIndexes - Mixed,dialHands - Proprietary ,movementType - Processor,movementDisplay - Digital,movementTime - Hours Minutes Se
 gs://ram594/final_images/a1036012g721737p-27.jpg,family - Transocean,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Round,dialColor - Silver,dialIndexes - Stick  Dot,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/3988482-46.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Blue,dialIndexes - Stick  Dot,dialHands - Dauphine,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/ua7949-h1-3-2b.jpg,family - Pilot,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Open,caseShape - Round,dialColor - Black,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/2562402-3e.jpg,family - Reverso,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/a1036012g721154a-63.jpg,family - Transocean,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Round,dialColor - Silver,dialIndexes - Stick  Dot,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/mj432ll-56.jpg,family - Watch,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Black,dialIndexes - Mixed,dialHands - Proprietary ,movementType - Processor,movementDisplay - Digital,movementTime - Hours Minutes Se
 gs://ram594/final_images/2588120-67.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Dauphine,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/25866or-oo-d002cr-01-c8.png,family - Jules Audemars,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Open,caseShape - Round,dialColor - Silver,dialIndexes - Stick  Dot,dialHands - Feuille,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/a4131012bc06171a-bb.jpg,family - Transocean,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Round,dialColor - Black,dialIndexes - Stick  Dot,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/a1931012-g750-106w-97.jpg,family - Transocean,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Round,dialColor - Silver,dialIndexes - Stick  Dot,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/3788570-58.jpg,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Stick  Dot,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/mj3a2ll-77.jpg,family - Watch,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Black,dialIndexes - Mixed,dialHands - Proprietary ,movementType - Processor,movementDisplay - Digital,movementTime - Hours Minutes Se
 gs://ram594/final_images/3308421-e0.jpg,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/2538420-e0.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/3858522-c3.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Baton,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/br0192-horizon-24.png,family - Instruments,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Square,dialColor - Black,dialIndexes - Mixed,dialHands - Proprietary ,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
